rating_unit_name,bcar_996,note
Aflac,,
American-Amicable / Trinity,,
Aetna/CVS — American Continental,,
American National,,
Wellabe Group,67.3,
Cigna — American Retirement Life,,
Atlantic American — American Southern,,
Americo,,
Assurity Life,,
Atlantic American — Bankers Fidelity,,
CNO — Bankers Life,,
CNO — Colonial Penn,,
Combined Insurance (Chubb),,
Continental General,,
Aetna/CVS — Continental Life,,
Everence,,
Forethought (Global Atlantic),,
Funeral Directors Life,,
Government Personnel Mutual,,
Guarantee Trust Life,,
Globe Life,,
Guardian Life,,
Cigna — National Health,,
Heartland National,,
Homesteaders Life,,
Humana,,
Investors Heritage,,
Liberty Bankers,,
Lincoln Financial,,
Cigna — Loyal American,,
Lumico (RGA),,
ManhattanLife — Assurance,,
Mutual of Omaha,,
National Guardian Life,,
National Western Life,,
New Era Life,,
New York Life,,
Pekin Life,,
Philadelphia American,,
Physicians Mutual,,
Kemper — Reserve National,,
Security National,,
Sentinel Security Life,,
American National — Standard Life & Accident,,
USAA Life,,
UnitedHealthcare,,
CNO — Washington National,,
ManhattanLife — Western United,,
